,ID,Album,Artist,ISRC,Original Advance Amount,Additional Recoupable Costs,Total Recoupable Costs,Currency,Release Date,First Revenue Date,Contractual Artist Split,Contractual Artist Split After Recoupment,Contract Term (months),Legacy: Expected Time to Repay (in P&L months excluding months where no revenue at the time of the investment),Legacy: Expected time to repay month,Expected Payback Period,1 Year Cum Expected Revenue,2 Year Cum Expected Revenue,3 Year Cum Expected Revenue,Number of Streaming Services above 2,Number of Streams & Youube Views (as of pool cut date),Total Gross Royalty Revenue Earned,Total Instrumental Split of Revenue,Total Artist Revenue,Total Revenue Paid to Artist,Total Expected Revenue to date,Actual to Expected Revenue,Outstanding principal / advance,Revenue Month (i.e. number of months receiving revenue),Currency.1,Expected Repayment Term,Max Advance,Minimum Streaming Services,Inactivity (received revenue vs expected - tested after 6 months from origination date),ELIGIBLITY CRITERIA CHECK,EXCEPTION LOAN,STATUS,Monthly Revenue Collected,3/9 Month Average monthly collections,Remaining Term,Remaining PV Term,Future Revenue,Revenue until Artist Recoups,Future Cashflows 3 years,Eligible Portfolio Value,Net Eligible Portfolio Value (*80%),Buyback?,Buyback Amount,Buyback Date,Agreement with Company,Date of Agreement
0,1ZMd7pX8bK6rj9QwudqCsK,Want More of It,The 5:55,GBKPL1980942,47336,3162,3188,USD,2023-06-01,2023-07-01,0.2879669155,0.2900780161,30,21,23,15,7303,8019,7748,3,40066,57803,74008,68937,68252,54446,0.1928236591,44993,17,USD,15,499570,3,1,0,1,Inactive,7242,8799,12,26,218507,464544,416528,288893,106655,No,270255,2023-12-31,Agreement 1,2023-06-01
1,3GvVucBkQA589IpRuI5rhN,Move My Body - Original Mix,AKKI (DE),SIB152200013,78303,2223,3649,USD,2023-06-01,2023-07-01,0.238018202,0.2244292321,19,15,6,27,9809,8919,3675,1,22637,49707,11271,89679,81000,37195,0.1633089627,14514,20,USD,34,259940,4,0,1,1,Inactive,1385,7791,15,33,254800,338377,366919,426415,326748,No,379230,2023-12-31,Agreement 2,2023-06-01
2,6zg1bV9ESNLTmtB0Os3FA4,Old Friend,Mitski,USJ5G1815003,63336,4913,1065,USD,2023-06-01,2023-07-01,0.2273274669,0.2567853116,13,19,17,31,5352,2197,8222,4,80492,17439,42239,45204,26312,29829,0.5071581998,45294,6,USD,23,323874,1,1,0,1,Active,4461,7458,31,26,251943,144766,440616,491742,280008,Yes,231261,2023-12-31,Agreement 4,2023-06-01
3,6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World,Imagine Dragons,USUM71201073,21741,3935,1536,USD,2023-06-01,2023-07-01,0.4387912913,0.3690589036,22,14,19,17,3333,8870,2371,2,54231,75128,82332,48705,31759,74063,0.5324697808,10727,21,USD,34,332225,1,0,0,0,Inactive,5089,8182,26,12,129389,228749,297898,408186,369129,Yes,390127,2023-12-31,Agreement 4,2023-06-01
4,4ojaavqdTF7QZagRUgvzJB,Saari Raat,Jyotica Tangri,INT102201034,42158,3545,3551,USD,2023-06-01,2023-07-01,0.2059205559,0.3102529175,17,18,14,24,5078,1804,3965,4,27627,67963,40401,33507,89654,17595,0.4338507975,73043,32,USD,28,310543,2,1,0,0,Inactive,4367,6870,22,28,116041,192115,242578,477387,123874,Yes,441492,2023-12-31,Agreement 2,2023-06-01
5,1XX3sKKZN3DfWeFpMAc2WX,La Última Vez - Deluxe,Ivan Cornejo,QZMFV2000369,62771,4530,4128,USD,2023-06-01,2023-07-01,0.2539558793,0.3001033137,32,10,17,28,3403,1931,3044,4,30376,95163,51350,22748,57667,84795,0.8066872794,88721,14,USD,31,304041,4,0,1,0,Active,5622,3145,12,13,369075,338737,243684,263361,425604,Yes,389570,2023-12-31,Agreement 4,2023-06-01
6,4TUk4UVSVxQXsIXcKvKn5h,Stop Thinking (About Me),Alfie Templeman,GBKPL1942851,71588,1162,3342,USD,2023-06-01,2023-07-01,0.4622143194,0.4272878558,17,7,13,26,2782,6808,8540,2,42589,65508,93112,25852,15940,41007,0.6274357122,91259,10,USD,15,224398,4,1,0,1,Active,1481,4904,34,18,205091,474098,378415,495300,358268,Yes,497352,2023-12-31,Agreement 4,2023-06-01
7,2yr2HnFYl7XvqJk4fXoQBt,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,USRH11603418,82241,3786,3798,USD,2023-06-01,2023-07-01,0.1110864112,0.402224747,19,15,14,33,7499,9761,9550,2,29004,64602,53793,63292,51893,39920,0.9555139033,92468,22,USD,30,287938,3,1,1,0,Inactive,4603,5497,32,15,335355,339646,300607,135958,360315,Yes,219183,2023-12-31,Agreement 1,2023-06-01
8,6DDR9SH5GtW3txgEqBe0Nq,Nothin' to Compare,Who,TCAED1995243,86912,1863,2588,USD,2023-06-01,2023-07-01,0.4515529588,0.2906877245,14,13,21,29,7138,7787,9681,3,31704,38703,68489,58282,70811,26230,0.1434742641,69530,8,USD,33,490755,2,0,0,1,Active,7384,5335,26,20,482149,383388,138797,108711,221446,Yes,190045,2023-12-31,Agreement 1,2023-06-01
9,0H7B2z2i1DNLb7m034zDZT,Life Gets F**ked Up,7evin7ins,QM42K2001212,95390,1029,2953,USD,2023-06-01,2023-07-01,0.3073935741,0.4705793253,14,17,23,17,1167,2340,4726,2,42267,59034,11696,35066,27033,40176,0.4377722802,63338,14,USD,14,252161,4,1,0,0,Inactive,5896,5662,21,26,184131,318820,376567,132811,336659,Yes,431888,2023-12-31,Agreement 1,2023-06-01
